Ticker,Model,mu,lambda,omega,alpha,beta,delta,gamma,nu,LogLik,AIC,BIC,Converged
AAPL,GARCH,0.154,,0.038,0.0903,0.8735,,,4.1463,-4662.4829,9334.9658,9364.0861,False
AAPL,GARCH-M,0.0721,0.0609,0.0369,0.0889,0.8754,,,4.1382,-4661.5515,9335.103,9370.0473,True
AAPL,GARCH-M-L,0.1082,0.0216,0.0124,0.0731,0.9152,0.0707,0.4393,4.4005,-4632.1927,9280.3854,9326.9778,False
JNJ,GARCH,0.0722,,-0.0023,0.0254,0.9235,,,4.3944,-3282.8136,6575.6272,6604.7474,False
JNJ,GARCH-M,0.0584,0.0309,-0.0023,0.0252,0.9239,,,4.3894,-3282.7133,6577.4266,6612.3709,True
JNJ,GARCH-M-L,0.033,0.0629,0.0026,0.0256,0.916,0.0172,1.2285,4.556,-3270.3541,6556.7082,6603.3006,True
MRK,GARCH,0.0663,,0.0143,0.0391,0.9059,,,4.4979,-3892.92,7795.84,7824.9603,True
MRK,GARCH-M,0.0774,-0.0146,0.0149,0.0397,0.9042,,,4.5011,-3892.8915,7797.783,7832.7273,True
MRK,GARCH-M-L,-0.0463,0.117,0.0194,0.0402,0.9058,0.0385,4.7418,4.7145,-3868.2689,7752.5377,7799.1301,True
PFE,GARCH,0.0373,,-0.0271,0.0364,0.9613,,,4.6505,-3769.409,7548.8181,7577.9383,True
PFE,GARCH-M,-0.0059,0.0872,-0.0248,0.0366,0.9585,,,4.6966,-3766.8016,7545.6032,7580.5475,False
PFE,GARCH-M-L,-0.031,0.1037,-0.0251,0.0425,0.9527,0.0294,0.4104,4.9028,-3753.1102,7522.2205,7568.8128,False
